"name","x","y","address"
"Братская могила партизан и местных жителей, погибших в годы колчаковского террора в 1919-1920 гг.","96.066985858193","56.675669600957","Абанский район, п. Абан, Красная площадь, ул. Советская напротив дома по ул. Пионерская, 1"
"Дом, в котором в 1916–1917 гг. жил революционер, советский военачальник Примаков Виталий Маркович","96.07702535054","56.67626422705","Абанский район, п. Абан, ул.                Примакова, 28"
"Памятник Герою Советского Союза Богутскому Виктору Степановичу","96.069105962189","56.676449040765","Абанский район, п. Абан, ул. Советская, 56 А"
"Братская могила партизан и жителей села, погибших от рук колчаковцев в 1919 г.","96.219083995015","56.857930767936","Абанский район, с. Апано-Ключи, ул. Мира, 5А
"
"Здание, где в лазарете в 1919 г. находились на излечении партизаны в период колчаковщины","96.802821107982","56.758961718738","Абанский район, с. Долгий Мост, ул. Заречная, 28, стр. 1
"
"Могила Капустина Михаила Денисовича, Героя Советского Союза (1907-1968 гг.)","96.778490542855","56.750325420048","Абанский район, с. Долгий Мост, сельское кладбище
"
"Здание, где в феврале-июне 1919 года находился полевой штаб Долгомостовского партизанского отряда","96.80767128577","56.749254108854","Абанский район, с. Долгий Мост, ул. А. Помозова, 11а
"
"Могила партизан и жителей села, погибших от рук колчаковцев в 1919 г.","96.146717823528","56.786091912318","Абанский район, д. Зимник, 60 м к северо-востоку от центральных ворот кладбища
"
"Могила Смирнова Андрея Семёновича, партизанского разведчика, расстрелянного колчаковцами в декабре 1919 г.","95.719499206693","56.607529687933","Абанский район, д. Ношино, ул. Советская, 38А
"
"Могила Огнева Андрея, юного партизана, связного, расстрелянного колчаковцами (1905-1919 гг.)","95.89065833591","56.836659581427","Абанский район, с. Самойловка, кладбище
"
"Могила Мозолевского Александра Евтихиевича (1803-1857), декабриста","95.996672501947","56.518639239676","Абанский район, с. Устьянск, 50 м к юго-востоку от центральных ворот кладбища
"
"Братская могила 44 деятелей Ачинского Совета рабочих, солдатских и крестьянских депутатов, расстрелянных колчаковским карательным отрядом в мае и июне 1919 г.","90.501408004646","56.278645379371","г. Ачинск, парк Троицкий
"
